"entity_ID" "noendem" "geo_entity" "entity_class" "longitude" "latitude" "area" "area_ratio" "extent_ratio" "no_polygons" "dist" "botanical_continent" "biome" "geology" "age_Ma" "native_proc" "naturalized_proc" "CHELSA_annual_mean_Temp" "CHELSA_annual_Prec" "GDP" "Popdensity" "HI" "HF" "elev_range" "nfix" "endem"
"91" 289 4 "Coetivy" "Island" 56.279994 -7.129637 9.98386 1 1 1 1550.8 "AFRICA" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 0.127 71 NA 26.70385 2339.65385 0.48088 3.68886 NA NA 15 "nfix" 0
"92" 290 1 "Darros" "Island" 53.298464 -5.415731 1.755549 1 1 1 1186.417 "AFRICA" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 0.127 71 NA 26.8 2137.25 0 3.68886 NA NA 8 "nfix" 0
"93" 293 16 "Anegada" "Island" -64.337381 18.726917 40.242908 1 1 1 884.343 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "nondev" NA 185 NA 26.80959 1165.05479 0.20724 11.82275 NA 9 8 "nfix" 2
"94" 294 16 "Anguilla" "Island" -63.054398 18.214736 74.928018 1 1 1 819.509 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 14.18 250 NA 26.73482 1121.38393 0.25257 177.58585 60.74603 38.15873 51 "nfix" 0
"95" 295 49 "Antigua" "Island" -61.798388 17.077293 280.170367 1 1 1 691.405 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 28.5 611 NA 26.5436 1222.35465 4.22435 315.67349 63.17808 40.88372 280 "nfix" 0
"96" 296 70 "Bahama Archipelago" "Island" -76.644108 24.259786 13377.822475 0.281516755887434 0.148660333715303 1237 82.75 "SOUTHERN AMERICA" "Tropical & Subtropical Coniferous Forests" "dev" 200 1078 NA 25.63276 1073.58464 0.49521 30.59259 19.45805 12.60772 47 "nfix" 7
"97" 297 45 "Barbados" "Island" -59.55639 13.172262 434.639683 1 1 1 355.48 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 1.2 511 NA 26.36534 1549.53409 10.54904 655.55997 74.99578 47.55534 312 "nfix" 0
"98" 298 12 "Barbuda" "Island" -61.793378 17.631531 144.414311 1 1 1 751.818 "SOUTHERN AMERICA" "Deserts & Xeric Shrublands" "dev" 2.65 190 NA 26.68146 1125.88764 0.2498 12.33062 19.65333 13.03356 39 "nfix" 0
"99" 303 194 "Cuba" "Island" -79.029797 21.625477 110730.908278 0.965414794165823 0.987198699771612 1370 197.348 "SOUTHERN AMERICA" "Tropical & Subtropical Dry Broadleaf Forests" "nondev" NA 5505 NA 25.14551 1322.21798 0.89602 103.77106 42.19574 27.134 1734 "nfix" 122
"100" 307 48 "Dominica" "Island" -61.349988 15.434552 754.214181 1 1 1 496.176 "SOUTHERN AMERICA" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 2.6 897 NA 24.867 2255.31333 0.37363 96.22286 37.2117 23.96497 1277 "nfix" 2
